,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit1,lstm_unit2,Objective
172,87,INTERMEDIATE,1,64.0,256.0,364.0,0.003180974954936694,188.0,250.0,0.9123854740806248
173,87,COMPLETED,1,64.0,256.0,364.0,0.003180974954936694,188.0,250.0,0.9123854740806248
174,88,INTERMEDIATE,1,256.0,256.0,256.0,0.0005,173.0,20.0,0.9988172417101653
175,88,COMPLETED,1,256.0,256.0,256.0,0.0005,173.0,20.0,0.9988172417101653
176,89,INTERMEDIATE,1,256.0,512.0,256.0,0.005,250.0,31.0,0.8887538495271102
177,89,COMPLETED,1,256.0,512.0,256.0,0.005,250.0,31.0,0.8887538495271102
178,90,INTERMEDIATE,1,256.0,512.0,397.0,0.005,184.0,20.0,0.954188813333926
179,90,COMPLETED,1,256.0,512.0,397.0,0.005,184.0,20.0,0.954188813333926
180,91,INTERMEDIATE,1,256.0,408.0,270.0,0.005,250.0,20.0,0.9129738600357719
181,91,COMPLETED,1,256.0,408.0,270.0,0.005,250.0,20.0,0.9129738600357719
182,92,INTERMEDIATE,1,256.0,509.0,510.0,0.005,125.0,28.0,0.911161816638449
183,92,COMPLETED,1,256.0,509.0,510.0,0.005,125.0,28.0,0.911161816638449
184,93,INTERMEDIATE,1,256.0,505.0,367.0,0.005,76.0,20.0,0.9084136123242585
185,93,COMPLETED,1,256.0,505.0,367.0,0.005,76.0,20.0,0.9084136123242585
186,94,INTERMEDIATE,1,256.0,438.0,512.0,0.005,47.0,20.0,0.865039472994597
187,94,COMPLETED,1,256.0,438.0,512.0,0.005,47.0,20.0,0.865039472994597
188,95,INTERMEDIATE,1,64.0,388.0,433.0,0.005,250.0,107.0,0.9963731713916945
189,95,COMPLETED,1,64.0,388.0,433.0,0.005,250.0,107.0,0.9963731713916945
190,96,INTERMEDIATE,1,256.0,499.0,512.0,0.00475327005393507,50.0,100.0,0.9501620168271272
191,96,COMPLETED,1,256.0,499.0,512.0,0.00475327005393507,50.0,100.0,0.9501620168271272
192,97,INTERMEDIATE,1,256.0,415.0,512.0,0.005,127.0,131.0,0.8992614175962366
193,97,COMPLETED,1,256.0,415.0,512.0,0.005,127.0,131.0,0.8992614175962366
194,98,INTERMEDIATE,1,128.0,512.0,457.0,0.005,24.0,20.0,0.937736899956413
195,98,COMPLETED,1,128.0,512.0,457.0,0.005,24.0,20.0,0.937736899956413
196,99,INTERMEDIATE,1,256.0,349.0,256.0,0.005,250.0,176.0,0.7242830266123232
197,99,COMPLETED,1,256.0,349.0,256.0,0.005,250.0,176.0,0.7242830266123232
198,100,INTERMEDIATE,1,128.0,256.0,256.0,0.0005,250.0,225.0,0.9562992272169694
199,100,COMPLETED,1,128.0,256.0,256.0,0.0005,250.0,225.0,0.9562992272169694
