,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,hidden_unit3,lr_init,lstm_unit,Objective
180,91,INTERMEDIATE,1,128.0,393.0,407.0,314.0,0.0009510412940309956,49.0,0.9700109025706416
181,91,COMPLETED,1,128.0,393.0,407.0,314.0,0.0009510412940309956,49.0,0.9700109025706416
182,92,INTERMEDIATE,1,256.0,274.0,379.0,394.0,0.003620361140668602,126.0,0.9123516238254049
183,92,COMPLETED,1,256.0,274.0,379.0,394.0,0.003620361140668602,126.0,0.9123516238254049
184,93,INTERMEDIATE,1,64.0,476.0,410.0,409.0,0.0024534304402885508,69.0,0.8422366277031277
185,93,COMPLETED,1,64.0,476.0,410.0,409.0,0.0024534304402885508,69.0,0.8422366277031277
186,94,INTERMEDIATE,1,256.0,332.0,491.0,428.0,0.004013205798534641,36.0,0.9234455927558567
187,94,COMPLETED,1,256.0,332.0,491.0,428.0,0.004013205798534641,36.0,0.9234455927558567
188,95,INTERMEDIATE,1,64.0,504.0,455.0,361.0,0.003945782198868581,170.0,0.7744366708009139
189,95,COMPLETED,1,64.0,504.0,455.0,361.0,0.003945782198868581,170.0,0.7744366708009139
190,96,INTERMEDIATE,1,128.0,461.0,276.0,427.0,0.003608664834386568,231.0,0.7991982309714608
191,96,COMPLETED,1,128.0,461.0,276.0,427.0,0.003608664834386568,231.0,0.7991982309714608
192,97,INTERMEDIATE,1,256.0,365.0,448.0,264.0,0.0016294938909819227,157.0,0.9281748999720034
193,97,COMPLETED,1,256.0,365.0,448.0,264.0,0.0016294938909819227,157.0,0.9281748999720034
194,98,INTERMEDIATE,1,256.0,273.0,308.0,413.0,0.003320909306868115,38.0,0.9560618141423101
195,98,COMPLETED,1,256.0,273.0,308.0,413.0,0.003320909306868115,38.0,0.9560618141423101
196,99,INTERMEDIATE,1,64.0,501.0,428.0,405.0,0.002476937315218038,98.0,0.7114563610242761
197,99,COMPLETED,1,64.0,501.0,428.0,405.0,0.002476937315218038,98.0,0.7114563610242761
198,100,INTERMEDIATE,1,64.0,289.0,389.0,481.0,0.0009550952790038918,130.0,0.7994424363841182
199,100,COMPLETED,1,64.0,289.0,389.0,481.0,0.0009550952790038918,130.0,0.7994424363841182
